Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Iker CAMANO ORTUZAR,Iker,CAMANO ORTUZAR,ESP,ESP0004,"Vuelta a España, 2013",FUJI-SERVETTO,,,,TEAM NETAPP - ENDURA,,,,,,
Marco PINOTTI,Marco,PINOTTI,ITA,ITA0010,"Vuelta a España, 2013",TEAM COLUMBIA - HIGH ROAD,TEAM HTC - COLUMBIA,HTC-HIGHROAD,BMC RACING TEAM,BMC RACING TEAM,,,,,,
Mauricio Alberto ARDILA CANO,Mauricio Alberto,ARDILA CANO,COL,COL0002,"Giro d'Italia, 2011",RABOBANK,RABOBANK,GEOX-TMC,,,,,,,,
Luca MAZZANTI,Luca,MAZZANTI,ITA,ITA0011,"Giro d'Italia, 2012",TEAM KATUSHA,TEAM KATUSHA,FARNESE VINI - NERI SOTTOLI,FARNESE VINI - SELLE ITALIA,,,,,,,
Simon GERRANS,Simon,GERRANS,AUS,AUS0002,"Tour de France, 2018",CERVELO TEST TEAM,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA-BIKEEXCHANGE,,BMC RACING TEAM,
Sylwester SZMYD,Sylwester,SZMYD,POL,POL0001,"Vuelta a España, 2013",LIQUIGAS,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,MOVISTAR TEAM,,CCC SPRANDI POLKOWICE,,,,
Pablo LASTRAS GARCIA,Pablo,LASTRAS GARCIA,ESP,ESP0005,"Giro d'Italia, 2013",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,,,,,
Dario David CIONI,Dario David,CIONI,ITA,ITA0012,"Giro d'Italia, 2011",ISD - NERI,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,,,,,,,,
Jens VOIGT,Jens,VOIGT,GER,GER0001,"Tour de France, 2014",TEAM SAXO BANK,TEAM SAXO BANK,LEOPARD TREK,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,,,,,
Jose Luis RUBIERA VIGIL,Jose Luis,RUBIERA VIGIL,ESP,ESP0006,"Giro d'Italia, 2009",ASTANA,,,,,,,,,,
Fredrik KESSIAKOFF,Fredrik,KESSIAKOFF,SWE,SWE0002,"Vuelta a España, 2011",FUJI-SERVETTO,,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,,,,,,
Marco MARZANO,Marco,MARZANO,ITA,ITA0013,"Tour de France, 2012",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,LAMPRE - ISD,LAMPRE - ISD,,,,,,,
Marcos GARCIA FERNANDEZ,Marcos,GARCIA FERNANDEZ,ESP,ESP0007,"Vuelta a España, 2013",XACOBEO GALICIA,XACOBEO GALICIA,,CAJA RURAL,CAJA RURAL - SEGUROS RGA,,,,,,
Vladimir MIHOLJEVIĆ,Vladimir,MIHOLJEVIĆ,CRO,CRO0001,"Giro d'Italia, 2011",LIQUIGAS,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ACQUA & SAPONE,,,,,,,,
Volodymir GUSTOV,Volodymir,GUSTOV,UKR,UKR0003,"Giro d'Italia, 2012",CERVELO TEST TEAM,CERVELO TEST TEAM,SAXO BANK SUNGARD,TEAM SAXO BANK,,,,,,,
Jure GOLČER,Jure,GOLČER,SLO,SLO0002,"Giro d'Italia, 2009",,,,,,,,,,,
