Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Yonnatta MONSALVE,Yonnatta,MONSALVE,VEN,VEN0005,"Giro d'Italia, 2015",,,,,,NERI SOTTOLI,SOUTHEAST,,,,
Simon GESCHKE,Simon,GESCHKE,GER,GER0026,"Vuelta a España, 2012",SKIL-SHIMANO,,SKIL - SHIMANO,TEAM ARGOS - SHIMANO,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TEAM SUNWEB,TEAM SUNWEB,CCC TEAM
Pieter SERRY,Pieter,SERRY,BEL,BEL0040,"Vuelta a España, 2018",,,,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Yonder GODOY,Yonder,GODOY,VEN,VEN0006,"Giro d'Italia, 2014",,,,,,ANDRONI GIOCATTOLI - VENEZUELA,,,,,
Perrig QUEMENEUR,Perrig,QUEMENEUR,FRA,FRA0055,"Vuelta a España, 2016",,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,,,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,DIRECT ENERGIE,,
Rodolfo Andres TORRES AGUDELO,Rodolfo Andres,TORRES AGUDELO,COL,COL0023,"Vuelta a España, 2015",,,,,,COLOMBIA,COLOMBIA,,,ANDRONI GIOCATTOLI - SIDERMEC,
Gorka IZAGIRRE INSAUSTI,Gorka,IZAGIRRE INSAUSTI,ESP,ESP0063,"Tour de France, 2019",,,EUSKALTEL-EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,BAHRAIN - MERIDA,ASTANA PRO TEAM
Jay MC CARTHY,Jay,MC CARTHY,AUS,AUS0025,"Vuelta a España, 2018",,,,,,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,BORA - HANSGROHE,BORA - HANSGROHE,BORA - HANSGROHE
Tosh VAN DER SANDE,Tosh,VAN DER SANDE,BEL,BEL0041,"Vuelta a España, 2018",,,,,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,,LOTTO SOUDAL,LOTTO SOUDAL
Christopher JUUL JENSEN,Christopher,JUUL JENSEN,DEN,DEN0012,"Tour de France, 2016",,,,,,TINKOFF-SAXO,TINKOFF - SAXO,ORICA-BIKEEXCHANGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Enrico BARBIN,Enrico,BARBIN,ITA,ITA0132,"Giro d'Italia, 2018",,,,,,BARDIANI CSF,BARDIANI CSF,,BARDIANI CSF,BARDIANI CSF,
Moreno MOSER,Moreno,MOSER,ITA,ITA0133,"Vuelta a España, 2015",,,,,CANNONDALE PRO CYCLING,CANNONDALE,TEAM CANNONDALE - GARMIN,CANNONDALE PRO CYCLING TEAM,,,
Angelo TULIK,Angelo,TULIK,FRA,FRA0056,"Tour de France, 2017",,,,,,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,DIRECT ENERGIE,,
Daniele RATTO,Daniele,RATTO,ITA,ITA0134,"Vuelta a España, 2013",,,,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,CANNONDALE,,,,,
David TANNER,David,TANNER,AUS,AUS0026,"Vuelta a España, 2015",,,,,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,IAM CYCLING,,,,
Boy VAN POPPEL,Boy,VAN POPPEL,NED,NED0034,"Tour de France, 2013",,,,,VACANSOLEIL-DCM PRO CYCLING TEAM,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,TREK - SEGAFREDO,
Tony HUREL,Tony,HUREL,FRA,FRA0057,"Vuelta a España, 2016",,,,,,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,,,
Tom VEELERS,Tom,VEELERS,NED,NED0035,"Vuelta a España, 2011",,,SKIL - SHIMANO,TEAM ARGOS - SHIMANO,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,,,,,
Andrea FEDI,Andrea,FEDI,ITA,ITA0135,"Giro d'Italia, 2014",,,,,,NERI SOTTOLI,,,,,
Jeffry Johan ROMERO CORREDOR,Jeffry Johan,ROMERO CORREDOR,COL,COL0024,"Giro d'Italia, 2014",,,,,,COLOMBIA,,,,,
Sebastien CHAVANEL,Sebastien,CHAVANEL,FRA,FRA0058,"Vuelta a España, 2010",FRANÇAISE DES JEUX,FDJ,,,,FDJ.fr,FDJ,,,,
Eugenio ALAFACI,Eugenio,ALAFACI,ITA,ITA0136,"Giro d'Italia, 2017",,,,,,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,TREK - SEGAFREDO,,
Michel KOCH,Michel,KOCH,GER,GER0027,"Giro d'Italia, 2014",,,,,,CANNONDALE,,,,,
Michael HEPBURN,Michael,HEPBURN,AUS,AUS0027,"Tour de France, 2019",,,,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Jetse BOL,Jetse,BOL,NED,NED0036,"Vuelta a España, 2019",,,,,,BELKIN-PRO CYCLING TEAM,,,MANZANA POSTOBON TEAM,BURGOS - BH,BURGOS - BH
Koldo FERNANDEZ,Koldo,FERNANDEZ,ESP,ESP0064,"Vuelta a España, 2013",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,,GARMIN - SHARP,GARMIN SHARP,GARMIN SHARP,,,,,
Arnaud COURTEILLE,Arnaud,COURTEILLE,FRA,FRA0059,"Vuelta a España, 2017",,,,FDJ-BIG MAT,FDJ.fr,FDJ.fr,FDJ,FDJ,FDJ,,
Ramon CARRETERO,Ramon,CARRETERO,PAN,PAN0001,"Giro d'Italia, 2015",,,,,,NERI SOTTOLI,SOUTHEAST,,,,
Giorgio CECCHINEL,Giorgio,CECCHINEL,ITA,ITA0137,"Giro d'Italia, 2014",,,,,,NERI SOTTOLI,,,,,
Maxime MEDEREL,Maxime,MEDEREL,FRA,FRA0060,"Tour de France, 2013",,,,,SOJASUN,TEAM EUROPCAR,,,,,
Mauro FINETTO,Mauro,FINETTO,ITA,ITA0138,"Vuelta a España, 2010",,LIQUIGAS-DOIMO,,,,NERI SOTTOLI,SOUTHEAST,,,,
Davide VILLELLA,Davide,VILLELLA,ITA,ITA0139,"Vuelta a España, 2016",,,,,,CANNONDALE,TEAM CANNONDALE - GARMIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM
Michael MATTHEWS,Michael,MATTHEWS,AUS,AUS0028,"Vuelta a España, 2013",,,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA-BIKEEXCHANGE,TEAM SUNWEB,,TEAM SUNWEB
Daniele COLLI,Daniele,COLLI,ITA,ITA0140,"Giro d'Italia, 2015",,,,,,NERI SOTTOLI,NIPPO - VINI FANTINI,,,,
Yannick EIJSSEN,Yannick,EIJSSEN,BEL,BEL0042,"Vuelta a España, 2013",,,,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,,,,,
Mitchell DOCKER,Mitchell,DOCKER,AUS,AUS0029,"Vuelta a España, 2019",,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,,,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Dylan VAN BAARLE,Dylan,VAN BAARLE,NED,NED0037,"Tour de France, 2019",,,,,,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,TEAM INEOS
Björn THURAU,Björn,THURAU,GER,GER0028,"Giro d'Italia, 2014",,,,,,TEAM EUROPCAR,,,,,
Marcel KITTEL,Marcel,KITTEL,GER,GER0029,"Vuelta a España, 2011",,,SKIL - SHIMANO,TEAM ARGOS - SHIMANO,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,,ETIXX - QUICK STEP,,,
Nicola RUFFONI,Nicola,RUFFONI,ITA,ITA0141,"Giro d'Italia, 2016",,,,,,BARDIANI CSF,BARDIANI CSF,BARDIANI CSF,,,
Leopold KÖNIG,Leopold,KÖNIG,CZE,CZE0004,"Vuelta a España, 2016",,,,,TEAM NETAPP - ENDURA,TEAM NETAPP - ENDURA,TEAM SKY,TEAM SKY,,,
Jurgen VAN DEN BROECK,Jurgen,VAN DEN BROECK,BEL,BEL0043,"Tour de France, 2016",SILENCE-LOTTO,OMEGA PHARMA-LOTTO,OMEGA PHARMA-LOTTO,LOTTO BELISOL TEAM,LOTTO BELISOL,LOTTO BELISOL,LOTTO SOUDAL,TEAM KATUSHA,TEAM LOTTO NL - JUMBO,,
Amael MOINARD,Amael,MOINARD,FRA,FRA0061,"Tour de France, 2019","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,TEAM FORTUNEO - SAMSIC,TEAM ARKEA - SAMSIC
Davide FORMOLO,Davide,FORMOLO,ITA,ITA0142,"Giro d'Italia, 2019",,,,,,,TEAM CANNONDALE - GARMIN,CANNONDALE PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,BORA - HANSGROHE,BORA - HANSGROHE
David DE LA CRUZ MELGAREJO,David,DE LA CRUZ MELGAREJO,ESP,ESP0065,"Vuelta a España, 2019",,,,,TEAM NETAPP - ENDURA,TEAM NETAPP - ENDURA,ETIXX - QUICK STEP,ETIXX - QUICK STEP,,TEAM SKY,TEAM INEOS
Luis León SANCHEZ,Luis León,SANCHEZ,ESP,ESP0066,"Vuelta a España, 2019",CAISSE D'EPARGNE,CAISSE D'EPARGNE,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,CAJA RURAL - SEGUROS RGA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM
Sylvain CHAVANEL,Sylvain,CHAVANEL,FRA,FRA0062,"Tour de France, 2018",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,IAM CYCLING,IAM CYCLING,DIRECT ENERGIE,DIRECT ENERGIE,DIRECT ENERGIE,
Pavel KOCHETKOV,Pavel,KOCHETKOV,RUS,RUS0019,"Vuelta a España, 2019",,,,,,,TEAM KATUSHA,TEAM KATUSHA,,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN
Ilnur ZAKARIN,Ilnur,ZAKARIN,RUS,RUS0020,"Tour de France, 2018",,,,,,,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN,TEAM KATUSHA ALPECIN
Kenny ELISSONDE,Kenny,ELISSONDE,FRA,FRA0063,"Vuelta a España, 2016",,,,,FDJ.fr,FDJ.fr,FDJ,FDJ,,TEAM SKY,
Silvan DILLIER,Silvan,DILLIER,SUI,SUI0017,"Vuelta a España, 2019",,,,,,,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,AG2R LA MONDIALE,AG2R LA MONDIALE
Jhoan Esteban CHAVES RUBIO,Jhoan Esteban,CHAVES RUBIO,COL,COL0025,"Vuelta a España, 2014",,,,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Ruben FERNANDEZ,Ruben,FERNANDEZ,ESP,ESP0067,"Vuelta a España, 2016",,,,,,,MOVISTAR TEAM,MOVISTAR TEAM,,MOVISTAR TEAM,
Simon CLARKE,Simon,CLARKE,AUS,AUS0030,"Vuelta a España, 2012",,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,CANNONDALE PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Nathan BROWN,Nathan,BROWN,USA,USA0022,"Vuelta a España, 2014",,,,,,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Clément CHEVRIER,Clément,CHEVRIER,FRA,FRA0064,"Vuelta a España, 2019",,,,,,,IAM CYCLING,IAM CYCLING,AG2R LA MONDIALE,,AG2R LA MONDIALE
Marcus BURGHARDT,Marcus,BURGHARDT,GER,GER0030,"Tour de France, 2019",,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BORA - HANSGROHE,BORA - HANSGROHE,BORA - HANSGROHE
Gianfranco ZILIOLI,Gianfranco,ZILIOLI,ITA,ITA0143,"Giro d'Italia, 2016",,,,,,,ANDRONI GIOCATTOLI - SIDERMEC,NIPPO - VINI FANTINI,,,
Sergey LAGUTIN,Sergey,LAGUTIN,RUS,RUS0021,"Vuelta a España, 2016",,,,,,,TEAM KATUSHA,TEAM KATUSHA,GAZPROM - RUSVELO,,
Jesus HERRADA,Jesus,HERRADA,ESP,ESP0068,"Tour de France, 2019",,,,,,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS"
Maciej PATERSKI,Maciej,PATERSKI,POL,POL0010,"Vuelta a España, 2013",,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,,CCC SPRANDI POLKOWICE,,CCC SPRANDI POLKOWICE,,
Marek RUTKIEWICZ,Marek,RUTKIEWICZ,POL,POL0011,"Giro d'Italia, 2015",,,,,,,CCC SPRANDI POLKOWICE,,,,
Nick VAN DER LIJKE,Nick,VAN DER LIJKE,NED,NED0038,"Giro d'Italia, 2015",,,,,,,TEAM LOTTO NL - JUMBO,,,,
Luca CHIRICO,Luca,CHIRICO,ITA,ITA0144,"Giro d'Italia, 2015",,,,,,,BARDIANI CSF,,,,
Tsgabu Gebremaryam GRMAY,Tsgabu Gebremaryam,GRMAY,ETH,ETH0001,"Vuelta a España, 2019",,,,,,,LAMPRE - MERIDA,LAMPRE - MERIDA,BAHRAIN - MERIDA,,MITCHELTON - SCOTT
Dayer QUINTANA,Dayer,QUINTANA,COL,COL0026,"Giro d'Italia, 2018",,,,,,,MOVISTAR TEAM,,,MOVISTAR TEAM,
Bert-Jan LINDEMAN,Bert-Jan,LINDEMAN,NED,NED0039,"Vuelta a España, 2017",,,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,
Sérgio PAULINHO,Sérgio,PAULINHO,POR,POR0007,"Vuelta a España, 2016",ASTANA,TEAM RADIOSHACK,TEAM RADIOSHACK,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,,,
Chad HAGA,Chad,HAGA,USA,USA0023,"Vuelta a España, 2014",,,,,,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TEAM SUNWEB,TEAM SUNWEB,TEAM SUNWEB
Giacomo BERLATO,Giacomo,BERLATO,ITA,ITA0145,"Giro d'Italia, 2016",,,,,,,NIPPO - VINI FANTINI,NIPPO - VINI FANTINI,,,
Kevin REZA,Kevin,REZA,FRA,FRA0065,"Vuelta a España, 2016",,,,,TEAM EUROPCAR,TEAM EUROPCAR,FDJ,FDJ,,,
Matteo BUSATO,Matteo,BUSATO,ITA,ITA0146,"Giro d'Italia, 2017",,,,,,,SOUTHEAST,WILIER TRIESTINA - SOUTHEAST,WILIER TRIESTINA - SELLE ITALIA,,
Heinrich HAUSSLER,Heinrich,HAUSSLER,AUS,AUS0031,"Vuelta a España, 2019",,,TEAM GARMIN-CERVELO,,,IAM CYCLING,IAM CYCLING,IAM CYCLING,,BAHRAIN - MERIDA,BAHRAIN - MERIDA
Hugo HOULE,Hugo,HOULE,CAN,CAN0006,"Vuelta a España, 2017",,,,,,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,ASTANA PRO TEAM
Sergei CHERNETSKII,Sergei,CHERNETSKII,RUS,RUS0022,"Vuelta a España, 2019",,,,,,TEAM KATUSHA,TEAM KATUSHA,,ASTANA PRO TEAM,,CAJA RURAL - SEGUROS RGA
Petr VAKOČ,Petr,VAKOČ,CZE,CZE0005,"Tour de France, 2016",,,,,,,ETIXX - QUICK STEP,ETIXX - QUICK STEP,,,
Lukasz OWSIAN,Lukasz,OWSIAN,POL,POL0012,"Giro d'Italia, 2019",,,,,,,CCC SPRANDI POLKOWICE,,CCC SPRANDI POLKOWICE,,CCC TEAM
Janier Alexis ACEVEDO CALLE,Janier Alexis,ACEVEDO CALLE,COL,COL0027,"Tour de France, 2014",,,,,,GARMIN SHARP,TEAM CANNONDALE - GARMIN,,,,
Cedric PINEAU,Cedric,PINEAU,FRA,FRA0066,"Vuelta a España, 2013",,,,FDJ-BIG MAT,FDJ.fr,FDJ.fr,FDJ,FDJ,,,
Samuel BEWLEY,Samuel,BEWLEY,NZL,NZL0007,"Vuelta a España, 2019",,,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA GreenEDGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
Maximiliano Ariel RICHEZE,Maximiliano Ariel,RICHEZE,ARG,ARG0003,"Vuelta a España, 2013",,,,,LAMPRE-MERIDA,LAMPRE-MERIDA,LAMPRE - MERIDA,ETIXX - QUICK STEP,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Nikolay MIHAYLOV,Nikolay,MIHAYLOV,BUL,BUL0001,"Giro d'Italia, 2015",,,,,,,CCC SPRANDI POLKOWICE,,,,
Alexander PORSEV,Alexander,PORSEV,RUS,RUS0023,"Tour de France, 2014",,,,,,TEAM KATUSHA,TEAM KATUSHA,TEAM KATUSHA,,,
Caleb FAIRLY,Caleb,FAIRLY,USA,USA0024,"Vuelta a España, 2013",,,,,GARMIN SHARP,,TEAM GIANT - ALPECIN,,,,
Moreno HOFLAND,Moreno,HOFLAND,NED,NED0040,"Vuelta a España, 2014",,,,,,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,LOTTO SOUDAL,,
Serghei TVETCOV,Serghei,TVETCOV,ROU,ROU0001,"Giro d'Italia, 2015",,,,,,,ANDRONI GIOCATTOLI - SIDERMEC,,,,
Bartlomiej MATYSIAK,Bartlomiej,MATYSIAK,POL,POL0013,"Giro d'Italia, 2015",,,,,,,CCC SPRANDI POLKOWICE,,,,
Rick ZABEL,Rick,ZABEL,GER,GER0031,"Tour de France, 2017",,,,,,,BMC RACING TEAM,BMC RACING TEAM,TEAM KATUSHA ALPECIN,,
Nikias ARNDT,Nikias,ARNDT,GER,GER0032,"Vuelta a España, 2014",,,,,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TEAM SUNWEB,TEAM SUNWEB,TEAM SUNWEB
Fábio SILVESTRE,Fábio,SILVESTRE,POR,POR0008,"Giro d'Italia, 2015",,,,,,,TREK FACTORY RACING,,,,
Eduard-Michael GROSU,Eduard-Michael,GROSU,ROU,ROU0002,"Giro d'Italia, 2016",,,,,,,NIPPO - VINI FANTINI,NIPPO - VINI FANTINI,,,
Calvin WATSON,Calvin,WATSON,AUS,AUS0032,"Giro d'Italia, 2015",,,,,,,TREK FACTORY RACING,,,,
Riccardo STACCHIOTTI,Riccardo,STACCHIOTTI,ITA,ITA0147,"Giro d'Italia, 2016",,,,,,,NIPPO - VINI FANTINI,NIPPO - VINI FANTINI,,,
Alessandro MALAGUTI,Alessandro,MALAGUTI,ITA,ITA0148,"Giro d'Italia, 2015",,,,,,,NIPPO - VINI FANTINI,,,,
Eugert ZHUPA,Eugert,ZHUPA,ALB,ALB0001,"Giro d'Italia, 2018",,,,,,,SOUTHEAST,WILIER TRIESTINA - SOUTHEAST,WILIER TRIESTINA - SELLE ITALIA,WILIER TRIESTINA - SELLE ITALIA,
Aleksejs SARAMOTINS,Aleksejs,SARAMOTINS,LAT,LAT0002,"Vuelta a España, 2014",,,"COFIDIS, LE CREDIT EN LIGNE",,,IAM CYCLING,IAM CYCLING,,,,
Roger KLUGE,Roger,KLUGE,GER,GER0033,"Tour de France, 2019",,TEAM MILRAM,,,,IAM CYCLING,IAM CYCLING,IAM CYCLING,,,LOTTO SOUDAL
Stig BROECKX,Stig,BROECKX,BEL,BEL0044,"Giro d'Italia, 2015",,,,,,,LOTTO SOUDAL,,,,
Tom BOONEN,Tom,BOONEN,BEL,BEL0045,"Vuelta a España, 2014",QUICK STEP,,QUICKSTEP CYCLING TEAM,,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,,,,
Gang XU,Gang,XU,CHN,CHN0002,"Giro d'Italia, 2015",,,,,,,LAMPRE - MERIDA,,,,
Juan Jose LOBATO DEL VALLE,Juan Jose,LOBATO DEL VALLE,ESP,ESP0069,"Vuelta a España, 2017",,,ANDALUCIA CAJA GRANADA,ANDALUCIA,EUSKALTEL EUSKADI,,MOVISTAR TEAM,,TEAM LOTTO NL - JUMBO,,NIPPO - VINI FANTINI - FAIZANE'
Louis VERVAEKE,Louis,VERVAEKE,BEL,BEL0046,"Vuelta a España, 2016",,,,,,,LOTTO SOUDAL,LOTTO SOUDAL,,,
Robert Thomas WAGNER,Robert Thomas,WAGNER,GER,GER0034,"Vuelta a España, 2014",,,LEOPARD TREK,,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,
Matteo PELUCCHI,Matteo,PELUCCHI,ITA,ITA0149,"Vuelta a España, 2014",,,,,,IAM CYCLING,IAM CYCLING,IAM CYCLING,,,
Sébastien REICHENBACH,Sébastien,REICHENBACH,SUI,SUI0018,"Tour de France, 2019",,,,,,IAM CYCLING,IAM CYCLING,FDJ,FDJ,GROUPAMA - FDJ,GROUPAMA - FDJ
Anton VOROBYEV,Anton,VOROBYEV,RUS,RUS0024,"Giro d'Italia, 2016",,,,,,,TEAM KATUSHA,TEAM KATUSHA,,,
Jaroslaw MARYCZ,Jaroslaw,MARYCZ,POL,POL0014,"Vuelta a España, 2011",,,SAXO BANK SUNGARD,,,,CCC SPRANDI POLKOWICE,,,,
Stefan KÜNG,Stefan,KÜNG,SUI,SUI0019,"Tour de France, 2019",,,,,,,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,BMC RACING TEAM,GROUPAMA - FDJ
Manabu ISHIBASHI,Manabu,ISHIBASHI,JPN,JPN0003,"Giro d'Italia, 2015",,,,,,,NIPPO - VINI FANTINI,,,,
Alejandro VALVERDE,Alejandro,VALVERDE,ESP,ESP0070,"Vuelta a España, 2009",CAISSE D'EPARGNE,,,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,MOVISTAR TEAM,MOVISTAR TEAM
Bob JUNGELS,Bob,JUNGELS,LUX,LUX0004,"Vuelta a España, 2014",,,,,,TREK FACTORY RACING,TREK FACTORY RACING,ETIXX - QUICK STEP,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Jakob FUGLSANG,Jakob,FUGLSANG,DEN,DEN0013,"Vuelta a España, 2019",TEAM SAXO BANK,TEAM SAXO BANK,LEOPARD TREK,,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,ASTANA PRO TEAM,ASTANA PRO TEAM
Valerio CONTI,Valerio,CONTI,ITA,ITA0150,"Vuelta a España, 2019",,,,,,LAMPRE-MERIDA,LAMPRE - MERIDA,LAMPRE - MERIDA,UAE TEAM EMIRATES,UAE TEAM EMIRATES,UAE TEAM EMIRATES
Rein TAARAMÄE,Rein,TAARAMÄE,EST,EST0004,"Vuelta a España, 2017","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",ASTANA PRO TEAM,TEAM KATUSHA,TEAM KATUSHA ALPECIN,,TOTAL DIRECT ENERGIE
Sergey FIRSANOV,Sergey,FIRSANOV,RUS,RUS0025,"Giro d'Italia, 2017",,,,,,,,GAZPROM-RUSVELO,GAZPROM - RUSVELO,,
Joseph Lloyd DOMBROWSKI,Joseph Lloyd,DOMBROWSKI,USA,USA0025,"Vuelta a España, 2015",,,,,,,TEAM CANNONDALE - GARMIN,CANNONDALE PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Merhawi KUDUS,Merhawi,KUDUS,ERI,ERI0001,"Vuelta a España, 2018",,,,,,MTN - QHUBEKA,MTN - QHUBEKA,TEAM DIMENSION DATA,,TEAM DIMENSION DATA,
Egor SILIN,Egor,SILIN,RUS,RUS0026,"Vuelta a España, 2012",,,KATUSHA TEAM,ASTANA PRO TEAM,,TEAM KATUSHA,,TEAM KATUSHA,,,
Carlos VERONA QUINTANILLA,Carlos,VERONA QUINTANILLA,ESP,ESP0071,"Vuelta a España, 2015",,,,,,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,ORICA - SCOTT,,MOVISTAR TEAM
Alexander FOLIFOROV,Alexander,FOLIFOROV,RUS,RUS0027,"Giro d'Italia, 2017",,,,,,,,GAZPROM-RUSVELO,GAZPROM - RUSVELO,,
José ROJAS,José,ROJAS,ESP,ESP0072,"Vuelta a España, 2015",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,,MOVISTAR TEAM
Damien HOWSON,Damien,HOWSON,AUS,AUS0033,"Vuelta a España, 2019",,,,,,,ORICA GreenEDGE,ORICA GreenEDGE,ORICA - SCOTT,MITCHELTON - SCOTT,MITCHELTON - SCOTT
